dog_breed,confidence_rate,is_dog
Orange,9.7,False
Bagel,8.59,False
Banana,7.61,False
Chihuahua,32.36,True
Pekinese,9.06,True
Papillon,6.9,True
Chihuahua,71.6,True
Malamute,7.83,True
Kelpie,3.14,True
Paper Towel,17.03,False
Labrador Retriever,16.81,True
Spatula,4.08,False
Basset,55.57,True
English Springer,22.58,True
German Short-Haired Pointer,17.52,True
Chesapeake Bay Retriever,42.56,True
Irish Terrier,11.63,True
Indian Elephant,7.69,False
Appenzeller,34.17,True
Border Collie,19.93,True
Ice Lolly,19.35,False
Pomeranian,56.61,True
Eskimo Dog,17.84,True
Pembroke,7.65,True
Irish Terrier,48.76,True
Irish Setter,19.31,True
Chesapeake Bay Retriever,11.82,True
Pembroke,51.13,True
Cardigan,45.1,True
Chihuahua,2.92,True
Samoyed,95.8,True
Pomeranian,1.39,True
Chow,0.82,True
French Bulldog,37.74,True
Labrador Retriever,15.13,True
Muzzle,8.3,False
Pembroke,96.63,True
Cardigan,2.74,True
Basenji,0.46,True
French Bulldog,99.17,True
Boxer,0.21,True
Staffordshire Bullterrier,0.15,True
Golden Retriever,95.34,True
Labrador Retriever,1.38,True
Redbone,0.8,True
Whippet,62.62,True
Borzoi,19.47,True
Saluki,2.74,True
Golden Retriever,71.47,True
Tibetan Mastiff,12.02,True
Labrador Retriever,10.55,True
Golden Retriever,46.98,True
Labrador Retriever,18.42,True
English Setter,7.35,True
Siberian Husky,70.04,True
Eskimo Dog,16.65,True
Malamute,11.14,True
French Bulldog,99.5,True
Pug,0.09,True
Bull Mastiff,0.09,True
Basset,82.17,True
Redbone,8.76,True
Weimaraner,2.62,True
Limousine,13.04,False
Tow Truck,2.92,False
Shopping Cart,2.63,False
Pembroke,80.92,True
Rhodesian Ridgeback,5.5,True
Beagle,3.89,True
Mexican Hairless,33.07,True
Sea Lion,27.56,False
Weimaraner,13.42,True
Samoyed,73.39,True
Eskimo Dog,3.5,True
Staffordshire Bullterrier,2.97,True
Chihuahua,79.35,True
Toy Terrier,14.35,True
Can Opener,3.23,False
Kuvasz,30.97,True
Great Pyrenees,18.61,True
Dandie Dinmont,8.63,True
Convertible,73.9,False
Sports Car,14.0,False
Car Wheel,4.42,False
French Bulldog,99.92,True
Chihuahua,0.04,True
Boston Bull,0.01,True
Pug,94.36,True
Shower Cap,2.53,False
Siamese Cat,0.28,False
Blenheim Spaniel,97.25,True
Shih-Tzu,0.66,True
Bernese Mountain Dog,0.62,True
Pug,36.93,True
Labrador Retriever,26.58,True
Kuvasz,13.47,True
Malamute,81.25,True
Siberian Husky,7.17,True
Eskimo Dog,5.58,True
Italian Greyhound,25.99,True
American Staffordshire Terrier,19.85,True
Staffordshire Bullterrier,12.77,True
Chow,82.21,True
Norwich Terrier,10.61,True
Norfolk Terrier,3.73,True
Pug,54.64,True
French Bulldog,40.43,True
Brabancon Griffon,4.4,True
Pembroke,99.32,True
Cardigan,0.32,True
Chihuahua,0.21,True
German Shepherd,70.7,True
Malinois,19.94,True
Norwegian Elkhound,4.91,True
Doberman,61.09,True
Miniature Pinscher,29.96,True
Kelpie,6.3,True
Golden Retriever,94.31,True
Labrador Retriever,3.24,True
Kuvasz,0.55,True
Chow,98.8,True
Tibetan Mastiff,0.71,True
Newfoundland,0.21,True
Golden Retriever,94.96,True
Labrador Retriever,4.59,True
Kuvasz,0.25,True
Eskimo Dog,46.68,True
Siberian Husky,40.6,True
Dingo,7.34,False
Labrador Retriever,85.0,True
Chesapeake Bay Retriever,7.43,True
Flat-Coated Retriever,1.56,True
Pembroke,54.3,True
Chihuahua,25.2,True
Cardigan,10.77,True
Golden Retriever,76.22,True
Labrador Retriever,9.9,True
Cocker Spaniel,1.72,True
Web Site,94.96,False
Dhole,1.73,False
Golden Retriever,0.69,True
Weimaraner,29.15,True
Chesapeake Bay Retriever,27.9,True
Koala,12.7,False
Saluki,52.9,True
Afghan Hound,25.0,True
Golden Retriever,16.07,True
Samoyed,28.15,True
Angora,27.21,False
Persian Cat,11.49,False
Tusker,47.33,False
Indian Elephant,24.56,False
Ibex,5.57,False
Street Sign,25.18,False
Umbrella,11.51,False
Traffic Light,6.95,False
Pembroke,79.14,True
Norwich Terrier,6.14,True
Chihuahua,3.37,True
Golden Retriever,91.33,True
Labrador Retriever,2.63,True
Cocker Spaniel,0.94,True
Chihuahua,23.85,True
Meerkat,10.43,False
Clumber,5.26,True
Miniature Pinscher,12.03,True
Rhodesian Ridgeback,10.64,True
Beagle,10.61,True
Basset,81.35,True
Beagle,14.67,True
Cocker Spaniel,0.95,True
German Short-Haired Pointer,47.99,True
Vizsla,12.44,True
Bath Towel,7.33,False
English Springer,38.34,True
Boston Bull,13.5,True
Cardigan,11.05,True
Tricycle,66.36,False
Labrador Retriever,3.35,True
Pembroke,1.88,True
Tabby,31.19,False
Window Screen,16.91,False
Egyptian Cat,13.29,False
Vizsla,96.05,True
Miniature Pinscher,0.94,True
American Staffordshire Terrier,0.87,True
Italian Greyhound,73.47,True
Whippet,15.05,True
Ibizan Hound,3.97,True
Basset,32.04,True
Collie,21.6,True
Appenzeller,12.85,True
French Bulldog,83.91,True
Boston Bull,7.88,True
Toy Terrier,1.52,True
Chesapeake Bay Retriever,83.8,True
Labrador Retriever,6.2,True
Weimaraner,4.06,True
Basset,99.54,True
Welsh Springer Spaniel,0.19,True
Bathtub,0.05,False
Saluki,51.0,True
Italian Greyhound,9.05,True
Golden Retriever,7.94,True
Pembroke,93.11,True
Cardigan,6.87,True
Basenji,0.01,True
Bloodhound,57.58,True
Redbone,24.1,True
Tibetan Mastiff,8.89,True
Golden Retriever,87.46,True
Irish Terrier,3.74,True
Chow,1.67,True
Bernese Mountain Dog,53.43,True
Saint Bernard,34.63,True
Greater Swiss Mountain Dog,9.49,True
Labrador Retriever,79.96,True
Chesapeake Bay Retriever,18.0,True
Vizsla,0.46,True
Siberian Husky,24.5,True
Pembroke,22.37,True
Dingo,16.08,False
West Highland White Terrier,71.43,True
Siberian Husky,9.19,True
Great Pyrenees,4.6,True
Labrador Retriever,83.61,True
Staffordshire Bullterrier,4.71,True
Beagle,3.6,True
Cocker Spaniel,43.72,True
Miniature Poodle,27.72,True
Toy Poodle,15.74,True
Flat-Coated Retriever,83.22,True
Black-And-Tan Coonhound,4.04,True
Newfoundland,2.82,True
Cardigan,80.67,True
Pembroke,11.66,True
Kelpie,4.92,True
Newfoundland,67.85,True
Tibetan Mastiff,24.4,True
Chow,4.85,True
Vizsla,61.98,True
Bloodhound,33.81,True
Chesapeake Bay Retriever,1.27,True
Labrador Retriever,47.69,True
Chesapeake Bay Retriever,17.41,True
German Short-Haired Pointer,9.29,True
Pug,99.91,True
French Bulldog,0.06,True
Bull Mastiff,0.01,True
Cocker Spaniel,51.32,True
Sussex Spaniel,15.91,True
Standard Poodle,14.95,True
Pembroke,93.19,True
Cardigan,3.77,True
Chihuahua,1.2,True
Basketball,80.84,False
Pug,6.67,True
Dalmatian,5.46,True
Shetland Sheepdog,96.92,True
Collie,1.83,True
Pomeranian,0.85,True
Labrador Retriever,92.14,True
Golden Retriever,6.46,True
Bloodhound,0.34,True
Komondor,97.48,True
Briard,2.0,True
Swab,0.32,False
Kelpie,39.81,True
Macaque,6.9,False
Dingo,5.06,False
Home Theater,16.83,False
Sandbar,9.8,False
Television,7.97,False
Pembroke,94.55,True
Cardigan,4.59,True
Beagle,0.43,True
Golden Retriever,84.1,True
Great Pyrenees,9.93,True
Labrador Retriever,3.26,True
Greater Swiss Mountain Dog,62.28,True
Appenzeller,15.85,True
Entlebucher,14.81,True
Comic Book,53.44,False
Envelope,28.07,False
Book Jacket,4.38,False
Pembroke,98.01,True
Cardigan,1.93,True
Malamute,0.01,True
Pembroke,99.34,True
Cardigan,0.63,True
Chihuahua,0.02,True
Chihuahua,95.52,True
Toy Terrier,0.81,True
Muzzle,0.63,False
Pembroke,66.42,True
Chihuahua,16.92,True
Cardigan,13.27,True
Laptop,15.37,False
French Bulldog,10.0,True
Printer,7.71,False
Labrador Retriever,86.81,True
Great Pyrenees,6.1,True
Saint Bernard,3.35,True
Whippet,37.82,True
Italian Greyhound,27.59,True
American Staffordshire Terrier,9.5,True
Labrador Retriever,52.26,True
Kuvasz,33.25,True
Dalmatian,3.2,True
Border Collie,66.2,True
Cardigan,17.57,True
Collie,8.71,True
Eskimo Dog,61.65,True
Siberian Husky,38.13,True
Malamute,0.17,True
Samoyed,47.14,True
Pekinese,30.22,True
Pomeranian,15.66,True
Flat-Coated Retriever,51.47,True
Groenendael,30.64,True
Curly-Coated Retriever,6.13,True
French Bulldog,90.53,True
Boston Bull,7.81,True
Pug,0.18,True
Samoyed,98.41,True
Pomeranian,0.79,True
Keeshond,0.33,True
Golden Retriever,67.37,True
Kuvasz,15.75,True
Labrador Retriever,12.61,True
Chesapeake Bay Retriever,83.24,True
Labrador Retriever,16.36,True
Weimaraner,0.28,True
Pembroke,98.99,True
Cardigan,0.99,True
Basenji,0.01,True
Pole,47.86,False
Lakeside,11.42,False
Wreck,5.59,False
Bull Mastiff,66.86,True
French Bulldog,18.06,True
Staffordshire Bullterrier,5.22,True
Golden Retriever,94.59,True
Labrador Retriever,2.13,True
Tibetan Mastiff,2.05,True
Marmot,35.88,False
Meerkat,17.47,False
Weasel,12.35,False
Eskimo Dog,41.33,True
Malamute,34.76,True
Siberian Husky,14.95,True
Staffordshire Bullterrier,69.05,True
French Bulldog,10.34,True
Beagle,7.95,True
Lakeland Terrier,27.52,True
Airedale,19.06,True
Teddy,10.26,False
French Bulldog,93.58,True
Pug,5.96,True
Boxer,0.14,True
Australian Terrier,20.73,True
Irish Terrier,15.63,True
German Shepherd,12.35,True
Basset,39.33,True
Beagle,24.2,True
Boxer,7.77,True
Home Theater,49.63,False
Studio Couch,16.73,False
Barber Chair,5.26,False
Chow,67.76,True
Pomeranian,27.06,True
Pekinese,3.81,True
Cardigan,77.1,True
Pembroke,13.72,True
French Bulldog,6.33,True
Syringe,14.47,False
Oxygen Mask,10.67,False
Bouvier Des Flandres,8.26,True
German Shepherd,50.8,True
Pembroke,13.61,True
Muzzle,7.58,False
Cardigan,58.39,True
Pembroke,5.6,True
Beagle,4.59,True
Bedlington Terrier,28.66,True
Toy Poodle,23.52,True
Lakeland Terrier,8.8,True
Lakeside,31.23,False
Dock,15.98,False
Canoe,7.08,False
Chimpanzee,26.76,False
Gorilla,10.43,False
Orangutan,5.99,False
French Bulldog,25.46,True
Staffordshire Bullterrier,19.26,True
Hog,10.03,False
Labrador Retriever,89.91,True
Golden Retriever,4.71,True
Kuvasz,2.32,True
Golden Retriever,89.55,True
Irish Setter,2.41,True
Labrador Retriever,1.93,True
Angora,22.42,False
Malamute,21.62,True
Persian Cat,12.84,False
Revolver,19.03,False
Projectile,14.91,False
Fountain,6.6,False
Golden Retriever,57.81,True
Labrador Retriever,28.61,True
Bloodhound,2.69,True
Pembroke,98.74,True
Cardigan,0.87,True
Basenji,0.34,True
Golden Retriever,86.39,True
Labrador Retriever,1.59,True
Doormat,1.06,False
French Bulldog,43.26,True
English Springer,32.59,True
Lakeland Terrier,4.26,True
Labrador Retriever,91.98,True
Beagle,4.35,True
Golden Retriever,2.34,True
Malamute,84.16,True
Siberian Husky,7.36,True
Eskimo Dog,7.21,True
Samoyed,99.8,True
Pomeranian,0.09,True
Keeshond,0.03,True
Golden Retriever,96.86,True
Labrador Retriever,1.03,True
Saluki,0.41,True
Boston Bull,30.69,True
Siamese Cat,19.12,False
Chihuahua,18.93,True
Old English Sheepdog,79.85,True
Tibetan Terrier,6.06,True
Standard Poodle,4.07,True
Chihuahua,87.65,True
Italian Greyhound,3.3,True
Cardigan,2.08,True
Flat-Coated Retriever,32.17,True
Labrador Retriever,11.51,True
Groenendael,9.61,True
Blenheim Spaniel,38.95,True
Pekinese,18.82,True
Japanese Spaniel,8.26,True
Pembroke,69.55,True
Cardigan,5.89,True
Chow,2.84,True
Chihuahua,26.02,True
Toy Poodle,18.92,True
Labrador Retriever,14.42,True
Pembroke,90.71,True
Cardigan,8.63,True
Chihuahua,0.14,True
Black-And-Tan Coonhound,85.49,True
Doberman,5.08,True
Bluetick,2.18,True
English Springer,35.47,True
Collie,17.75,True
Border Collie,13.17,True
Miniature Pinscher,29.25,True
Chihuahua,12.09,True
Rottweiler,11.95,True
German Shepherd,50.99,True
Malinois,23.73,True
Kelpie,4.69,True
Grille,65.23,False
Beach Wagon,11.28,False
Convertible,8.63,False
Great Dane,78.38,True
Rhodesian Ridgeback,11.41,True
English Foxhound,4.64,True
